run_timestamp,product_id,retailer,location,engine1_price,engine2_price,engine3_multiplier,engine4_multiplier,final_price,confidence,supply_risk,inventory_pressure,market_pressure,event_active,event_type,attendance,event_score,event_influence,distance_km,duration_hours,impact_level,base_price,e2_contribution_raw,e2_contribution,e3_contribution_raw,e3_contribution,e4_contribution_raw,e4_contribution,e5_contribution_raw,e5_contribution,total_uplift,confidence_score,confidence_level,sales_history_count,engine2_confidence,price_before_event,event_opportunity_score,event_uplift_pct,event_uplift_amount,expected_event_demand,available_inventory,inventory_shortage,inventory_coverage,elasticity,recommended_price_increase_pct,mrp,price_before_mrp,mrp_limit_applied
2026-06-21 00:40:07,SKU_1000,Reliance Retail,Mumbai,12.94,21.567,1.014,0.98,15.15,0.9687,0.134,-0.138,0.607,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.94,1.47,2.3,0.03,0.05,-0.09,-0.14,0.0,0.0,2.21,85.0,High,,,,,,,,,,,,,,,
2026-06-21 00:40:08,SKU_9999,Reliance Retail,Mumbai,12.93,31.61,1.02,1.0,14.85,0.9458,0.134,-0.201,0.844,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.93,3.15,1.89,0.04,0.03,0.0,0.0,0.0,0.0,1.92,85.0,High,,,,,,,,,,,,,,,
2026-06-21 00:40:09,SKU_9998,Reliance Retail,Mumbai,12.93,30.12,1.02,1.012,14.85,0.9542,0.134,-0.201,0.844,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.93,2.89,1.85,0.04,0.03,0.06,0.04,0.0,0.0,1.92,85.0,High,,,,,,,,,,,,,,,
2026-06-21 19:53:38,SKU_1000,Reliance Retail,Mumbai,12.94,21.567,1.014,0.98,15.15,0.9687,0.134,-0.138,0.607,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.94,1.47,2.3,0.03,0.05,-0.09,-0.14,0.0,0.0,2.21,85.0,High,,,,,,,,,,,,,,,
2026-06-21 19:53:39,SKU_9999,Reliance Retail,Mumbai,12.93,31.61,1.02,1.0,14.85,0.9458,0.134,-0.201,0.844,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.93,3.15,1.89,0.04,0.03,0.0,0.0,0.0,0.0,1.92,85.0,High,,,,,,,,,,,,,,,
2026-06-21 19:53:39,SKU_9998,Reliance Retail,Mumbai,12.93,30.12,1.02,1.012,14.85,0.9542,0.134,-0.201,0.844,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.93,2.89,1.85,0.04,0.03,0.06,0.04,0.0,0.0,1.92,85.0,High,,,,,,,,,,,,,,,
2026-06-21 19:57:15,SKU_1000,Reliance Retail,Mumbai,12.94,21.567,1.014,0.98,15.15,0.9687,0.134,-0.138,0.607,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.94,1.47,2.3,0.03,0.05,-0.09,-0.14,0.0,0.0,2.21,85.0,High,,,,,,,,,,,,,,,
2026-06-21 19:57:16,SKU_9999,Reliance Retail,Mumbai,12.93,31.61,1.02,1.0,14.85,0.9458,0.134,-0.201,0.844,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.93,3.15,1.89,0.04,0.03,0.0,0.0,0.0,0.0,1.92,85.0,High,,,,,,,,,,,,,,,
2026-06-21 19:57:17,SKU_9998,Reliance Retail,Mumbai,12.93,30.12,1.02,1.012,14.85,0.9542,0.134,-0.201,0.844,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.93,2.89,1.85,0.04,0.03,0.06,0.04,0.0,0.0,1.92,85.0,High,,,,,,,,,,,,,,,
2026-06-21 20:03:13,SKU_1000,Reliance Retail,Mumbai,12.94,21.567,1.091,0.98,18.15,0.8363,0.134,-0.908,0.607,False,Other,0,0.0,0.0,2.0,4.0,LOW,12.94,1.41,4.11,0.45,1.31,-0.07,-0.21,0.0,0.0,5.21,85.0,High,,,,,,,,,,,,,,,
